"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"east midlands";"MMR";1;2005;0.706;0.8655;0.882748009204154;0.910855833935467;0.933687736173136
"east midlands";"MMR";1;2006;0.707125;0.8785;0.893236837572735;0.900930693371563;0.913977519861524
"east midlands";"MMR";1;2007;0.702775;0.8815;0.900584969479042;0.913211884053025;0.904290232031419
"east midlands";"MMR";1;2008;0.70435;0.8905;0.90537980142372;0.916489749203942;0.916902590016188
"east midlands";"MMR";1;2009;0.698875;0.8795;0.91642464638092;0.92257715285674;0.919428408967833
"east midlands";"MMR";1;2010;0.712375;0.8994143155;0.91255035933056;0.93509461966414;0.9257546357
"east midlands";"MMR";1;2011;0.722725;0.9085733277;0.92929861151998;0.9310529109216;0.9385441927
"east midlands";"MMR";1;2012;0.727675;0.9313698268;0.93812438730928;0.9448904181391;0.9437003872
"east midlands";"MMR";1;2013;0.725125;0.9429813845;0.95239453035073;0.94797641091312;0.9522320886
"east midlands";"MMR";1;2014;0.723175;0.9513586649;0.9577209048723;0.96191291328523;0.9586853501
"east midlands";"MMR";1;2015;0.7237;0.945330401;0.96157808749104;0.96589508480589;0.9625776397
"east midlands";"MMR";1;2016;0.7284037804375;0.9439225941;0.9588622197494;0.96432417817136;0.9675063768
"east midlands";"MMR";1;2017;0.726603212725;0.9382434145;0.95473010057064;0.9641898732564;0.9661544121
"east midlands";"MMR";1;2018;0.7224596699875;0.9334419006;0.95248175847832;0.9595322501849;0.96638832
"east midlands";"MMR";1;2019;0.723781704025;0.9223924533;0.94952934454488;0.9588083480787;0.9617215178
"east midlands";"MMR";2;2005;0;0;0.332613808640339;0.680361959078603;0.792189110271384
"east midlands";"MMR";2;2006;0;0;0.345622529203307;0.665227617280678;0.788003195597177
"east midlands";"MMR";2;2007;0;0;0.362650442976281;0.691245058406615;0.770474423535648
"east midlands";"MMR";2;2008;0;0;0.36963738373536;0.725300885952561;0.800608128800805
"east midlands";"MMR";2;2009;0;0;0.37412163368325;0.73927476747072;0.84005198743637
"east midlands";"MMR";2;2010;0;0;0.363843052276725;0.7482432673665;0.8562367008
"east midlands";"MMR";2;2011;0;0;0.373782638236665;0.72768610455345;0.8666241225
"east midlands";"MMR";2;2012;0;0;0.39667228660486;0.74756527647333;0.8817231365
"east midlands";"MMR";2;2013;0;0;0.399293596996795;0.79334457320972;0.8966837909
"east midlands";"MMR";2;2014;0;0;0.39780332466505;0.79858719399359;0.9107388052
"east midlands";"MMR";2;2015;0;0;0.401757323090695;0.7956066493301;0.9123582703
"east midlands";"MMR";2;2016;0;0;0.4145092412397;0.80351464618139;0.9047153165
"east midlands";"MMR";2;2017;0;0;0.4125140667006;0.8290184824794;0.8875672663
"east midlands";"MMR";2;2018;0;0;0.4101983523034;0.8250281334012;0.890077821
"east midlands";"MMR";2;2019;0;0;0.4145360214548;0.8203967046068;0.8852233191
"east of england";"MMR";1;2005;0.693625;0.8165;0.8278069290676;0.853762469370378;0.882861068238155
"east of england";"MMR";1;2006;0.6985;0.8455;0.841113089784504;0.837731206020865;0.855083610589886
"east of england";"MMR";1;2007;0.669625;0.8585;0.865311652268011;0.849742323959418;0.840106697844785
"east of england";"MMR";1;2008;0.695425;0.8445;0.88199537850832;0.872257524903647;0.851807832139583
"east of england";"MMR";1;2009;0.70045;0.8415;0.88235747048712;0.8902327483368;0.873920100800474
"east of england";"MMR";1;2010;0.7111;0.8756687485;0.8877824836771;0.8956301225988;0.8922044592
"east of england";"MMR";1;2011;0.725725;0.8892070108;0.90713289982546;0.9056246946197;0.8988070872
"east of england";"MMR";1;2012;0.728575;0.9203549582;0.92593039580874;0.92730941088688;0.917038573
"east of england";"MMR";1;2013;0.7285;0.9309636039;0.93374631267141;0.93954149550794;0.9340329691
"east of england";"MMR";1;2014;0.7252;0.9395632137;0.94856403834439;0.94409241790862;0.942375369
"east of england";"MMR";1;2015;0.71695;0.9411520054;0.95462531711277;0.95305720459973;0.9461621551
"east of england";"MMR";1;2016;0.7293174245125;0.9377344654;0.95212930341376;0.96119632590882;0.9573629356
"east of england";"MMR";1;2017;0.7238538188125;0.9406797987;0.95029009386106;0.96003197266928;0.9613576044
"east of england";"MMR";1;2018;0.7198723719625;0.9261101835;0.95337990449355;0.95267678202874;0.9635455142
"east of england";"MMR";1;2019;0.7213801464625;0.9154929919;0.94620338842511;0.95579405622795;0.9573618352
"east of england";"MMR";2;2005;0;0;0.312526729240933;0.641105220832873;0.760706546310587
"east of england";"MMR";2;2006;0;0;0.31657525286267;0.625053458481865;0.756555606364023
"east of england";"MMR";2;2007;0;0;0.330908067002668;0.633150505725339;0.737613238708833
"east of england";"MMR";2;2008;0;0;0.35324840171244;0.661816134005337;0.747168404207386
"east of england";"MMR";2;2009;0;0;0.3581065860792;0.70649680342488;0.780996145864216
"east of england";"MMR";2;2010;0;0;0.37356231059487;0.7162131721584;0.8337229212
"east of england";"MMR";2;2011;0;0;0.37931704576737;0.74712462118974;0.845189016
"east of england";"MMR";2;2012;0;0;0.420133701518635;0.75863409153474;0.8689516413
"east of england";"MMR";2;2013;0;0;0.417528531344455;0.84026740303727;0.8902066317
"east of england";"MMR";2;2014;0;0;0.424598232693195;0.83505706268891;0.8989701541
"east of england";"MMR";2;2015;0;0;0.42525819249342;0.84919646538639;0.9077693909
"east of england";"MMR";2;2016;0;0;0.42572837571722;0.85051638498684;0.9069704853
"east of england";"MMR";2;2017;0;0;0.42095609228333;0.85145675143444;0.8969799462
"east of england";"MMR";2;2018;0;0;0.42661292742707;0.84191218456666;0.8977823191
"east of england";"MMR";2;2019;0;0;0.43164128165168;0.85322585485414;0.8814911366
"london";"MMR";1;2005;0.653125;0.7165;0.739134453089761;0.773750979318237;0.797270645192841
"london";"MMR";1;2006;0.658375;0.7375;0.742627628432818;0.755123699819576;0.777403948336467
"london";"MMR";1;2007;0.5929;0.7515;0.785314679551311;0.754031131480991;0.7592799954894
"london";"MMR";1;2008;0.65605;0.7445;0.82186680265808;0.806183578747916;0.756995394347207
"london";"MMR";1;2009;0.65695;0.7655;0.83460987355836;0.85257866197072;0.811608306806124
"london";"MMR";1;2010;0.6736;0.8214137731;0.85266625281656;0.87393867144124;0.8605620004
"london";"MMR";1;2011;0.6874;0.8400078546;0.87954713226251;0.88227115018307;0.8841619243
"london";"MMR";1;2012;0.691;0.8633476138;0.88607368943976;0.89853104943036;0.8995194539
"london";"MMR";1;2013;0.691225;0.8738818968;0.89654661889909;0.90176667357054;0.9082966892
"london";"MMR";1;2014;0.6868;0.8771408509;0.900656040924;0.90572166699442;0.908927416
"london";"MMR";1;2015;0.6772;0.8754041686;0.90102893289008;0.90896092929184;0.9094765635
"london";"MMR";1;2016;0.696450024625;0.8663008173;0.90433146051183;0.9097701636244;0.913111412
"london";"MMR";1;2017;0.69678413185;0.853033399;0.893893041621;0.91298762328332;0.9135778277
"london";"MMR";1;2018;0.688726801675;0.8539243516;0.885945896887;0.90070712136636;0.9169603989
"london";"MMR";1;2019;0.690933561625;0.8324381378;0.879323901925;0.89407385288692;0.9062895482
"london";"MMR";2;2005;0;0;0.194561763503608;0.389001381509033;0.572218780903944
"london";"MMR";2;2006;0;0;0.186213793926723;0.389123527007217;0.516259298618491
"london";"MMR";2;2007;0;0;0.237364064631651;0.372427587853446;0.516421402796572
"london";"MMR";2;2008;0;0;0.27201385678225;0.474728129263301;0.494263553886458
"london";"MMR";2;2009;0;0;0.288667704325825;0.5440277135645;0.630030695770805
"london";"MMR";2;2010;0;0;0.320738401618635;0.57733540865165;0.722000947
"london";"MMR";2;2011;0;0;0.335067912211445;0.64147680323727;0.7662049219
"london";"MMR";2;2012;0;0;0.3474250650381;0.67013582442289;0.8021468091
"london";"MMR";2;2013;0;0;0.358266225276675;0.6948501300762;0.8076844937
"london";"MMR";2;2014;0;0;0.35199563692968;0.71653245055335;0.8070268642
"london";"MMR";2;2015;0;0;0.342750606253125;0.70399127385936;0.8110157901
"london";"MMR";2;2016;0;0;0.33715050443355;0.68550121250625;0.8165057688
"london";"MMR";2;2017;0;0;0.32802067763031;0.6743010088671;0.7947840145
"london";"MMR";2;2018;0;0;0.33072488246386;0.65604135526062;0.7781892774
"london";"MMR";2;2019;0;0;0.32289976006827;0.66144976492772;0.7631049846
"north east";"MMR";1;2005;0.7045;0.8545;0.843408195841046;0.905146311613048;0.926458854203872
"north east";"MMR";1;2006;0.7105;0.8745;0.862089898487141;0.878391846655083;0.915626331128797
"north east";"MMR";1;2007;0.700975;0.8905;0.881564603274317;0.907031258850227;0.887023854493257
"north east";"MMR";1;2008;0.70315;0.8875;0.89683292757062;0.923395581924587;0.918120272314675
"north east";"MMR";1;2009;0.71425;0.8835;0.89451720388178;0.93433150289238;0.933717127194607
"north east";"MMR";1;2010;0.709675;0.913842331;0.92357456539164;0.93606752091522;0.9435840534
"north east";"MMR";1;2011;0.724375;0.9168420779;0.9406373578348;0.94811339434371;0.9463198146
"north east";"MMR";1;2012;0.728875;0.9326409756;0.9437418392429;0.95709896733312;0.9555247401
"north east";"MMR";1;2013;0.727975;0.943398192;0.947892533395;0.9673468846568;0.9644467254
"north east";"MMR";1;2014;0.730675;0.9574970777;0.960933120411;0.9619586452825;0.9699826574
"north east";"MMR";1;2015;0.733525;0.9541824849;0.96713820126324;0.9719679215136;0.9680274206
"north east";"MMR";1;2016;0.733296567325;0.9526977093;0.96646747706328;0.97567508224242;0.9755134455
"north east";"MMR";1;2017;0.732022712425;0.9512908462;0.96120653958291;0.97162182379152;0.9779839531
"north east";"MMR";1;2018;0.7320284392375;0.9478938998;0.96158478009997;0.96667615677783;0.9741450981
