"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"north east";"MMR";2;2011;"0";"0.0016";"0.46295";"0.872";"0.8782"
"north east";"MMR";2;2012;"0.0003";"0";"0.46395";"0.9209";"0.9355"
"north east";"MMR";2;2013;"0";"0.0004";"0.45775";"0.9229";"0.9539"
"north east";"MMR";2;2014;"0.0003";"0";"0.46525";"0.9105";"0.9563"
"north east";"MMR";2;2015;"0.0005";"0.0004";"0.46175";"0.9255";"0.9578"
"north east";"MMR";2;2016;"0";"0.0007";"0.4656";"0.9185";"0.9572"
"north east";"MMR";2;2017;"0";"0";"0.4724";"0.9262";"0.9555"
"north east";"MMR";2;2018;"0";"0";"0.47126994112426";"0.9398";"0.9641"
"north east";"MMR";2;2019;"0";"0";"0.47248324365155";"0.93753988224852";"0.9671"
"north west";"MMR";1;2010;"0.697575";"0.9137";"0.9405";"0.945";"0.9683839298"
"north west";"MMR";1;2011;"0.710175";"0.9301";"0.945";"0.9578";"0.96"
"north west";"MMR";1;2012;"0.714525";"0.9469";"0.9556";"0.9635";"0.9665"
"north west";"MMR";1;2013;"0.711975";"0.9527";"0.9666";"0.9706";"0.9715"
"north west";"MMR";1;2014;"0.71745";"0.9493";"0.9658";"0.9778";"0.9764"
"north west";"MMR";1;2015;"0.714075";"0.9566";"0.9624";"0.9794";"0.9803"
"north west";"MMR";1;2016;"0.7259750872125";"0.9521";"0.969";"0.9763";"0.9823"
"north west";"MMR";1;2017;"0.7234596825";"0.96796678295";"0.9676";"0.9782";"0.9802"
"north west";"MMR";1;2018;"0.7215618690375";"0.96461291";"0.97236365547984";"0.9754";"0.9805"
"north west";"MMR";1;2019;"0.719736384675";"0.96208249205";"0.97122625271101";"0.9745762603812";"0.9791"
"north west";"MMR";2;2010;"0.0007";"0.0007";"0.4169";"0.6959";"0.93400794585"
"north west";"MMR";2;2011;"0.0016";"0.001";"0.4357";"0.8288";"0.8733"
"north west";"MMR";2;2012;"0.003";"0.0021";"0.44075";"0.8664";"0.9162"
"north west";"MMR";2;2013;"0.0035";"0.004";"0.43845";"0.8765";"0.9311"
"north west";"MMR";2;2014;"0.0009";"0.0046";"0.4311";"0.8719";"0.9364"
"north west";"MMR";2;2015;"0.0007";"0.0012";"0.4262";"0.8572";"0.9339"
"north west";"MMR";2;2016;"0";"0.001";"0.4365";"0.8474";"0.9266"
"north west";"MMR";2;2017;"0";"0";"0.44015";"0.868";"0.9296"
"north west";"MMR";2;2018;"0";"0";"0.44535185855214";"0.8753";"0.9348"
"north west";"MMR";2;2019;"0";"0";"0.4436542720081";"0.88570371710428";"0.9343"
"south east";"MMR";1;2010;"0.70425";"0.9219";"0.9515";"0.9191";"0.95359997545"
"south east";"MMR";1;2011;"0.7131";"0.939";"0.9548";"0.9675";"0.9274"
"south east";"MMR";1;2012;"0.716925";"0.9508";"0.9629";"0.9682";"0.9738"
"south east";"MMR";1;2013;"0.7206";"0.9559";"0.9672";"0.9742";"0.9749"
"south east";"MMR";1;2014;"0.7176";"0.9608";"0.9675";"0.975";"0.9782"
"south east";"MMR";1;2015;"0.716925";"0.9568";"0.9708";"0.9748";"0.9779"
"south east";"MMR";1;2016;"0.7155292183875";"0.9559";"0.9696";"0.9784";"0.9769"
"south east";"MMR";1;2017;"0.718267936275";"0.95403895785";"0.968";"0.9769";"0.9814"
"south east";"MMR";1;2018;"0.7177829428125";"0.9576905817";"0.96574067817575";"0.974";"0.9793"
"south east";"MMR";1;2019;"0.7226836778625";"0.95704392375";"0.968084203408015";"0.97154199943975";"0.9777"
"south east";"MMR";2;2010;"0.0048";"0.0056";"0.42345";"0.734";"0.9178319398"
"south east";"MMR";2;2011;"0.0042";"0.0064";"0.43765";"0.8419";"0.8812"
"south east";"MMR";2;2012;"0.0055";"0.0056";"0.44775";"0.8703";"0.9324"
"south east";"MMR";2;2013;"0.0031";"0.0074";"0.44925";"0.8905";"0.9397"
"south east";"MMR";2;2014;"0.002";"0.0041";"0.442";"0.8935";"0.9421"
"south east";"MMR";2;2015;"0.0013";"0.0027";"0.4484";"0.879";"0.9386"
"south east";"MMR";2;2016;"0";"0.0017";"0.44865";"0.8918";"0.934"
"south east";"MMR";2;2017;"0";"0";"0.45165";"0.8923";"0.9396"
"south east";"MMR";2;2018;"0";"0";"0.455537680586757";"0.8983";"0.9356"
"south east";"MMR";2;2019;"0";"0";"0.456615772908575";"0.906075361173515";"0.9422"
"south west";"MMR";1;2010;"0.69105";"0.9106";"0.9354";"0.9362";"0.96195167285"
"south west";"MMR";1;2011;"0.70845";"0.9214";"0.9435";"0.9566";"0.9476"
"south west";"MMR";1;2012;"0.71115";"0.9446";"0.9482";"0.965";"0.9643"
"south west";"MMR";1;2013;"0.71175";"0.9482";"0.9626";"0.969";"0.9704"
"south west";"MMR";1;2014;"0.71295";"0.949";"0.9636";"0.974";"0.975"
"south west";"MMR";1;2015;"0.714";"0.9506";"0.9602";"0.973";"0.978"
"south west";"MMR";1;2016;"0.7239401085375";"0.952";"0.9597";"0.9712";"0.9766"
"south west";"MMR";1;2017;"0.72487094025";"0.96525347805";"0.9624";"0.9691";"0.9746"
"south west";"MMR";1;2018;"0.7238032553625";"0.966494587";"0.97243513752408";"0.972";"0.9723"
"south west";"MMR";1;2019;"0.7248828916875";"0.96507100715";"0.97242337127804";"0.97906269769212";"0.9761"
"south west";"MMR";2;2010;"0.0012";"0.0006";"0.4071";"0.6674";"0.92997211895"
"south west";"MMR";2;2011;"0.0003";"0.0016";"0.4299";"0.8092";"0.8623"
"south west";"MMR";2;2012;"0.0013";"0.0004";"0.44905";"0.8548";"0.9104"
"south west";"MMR";2;2013;"0.0004";"0.0017";"0.4473";"0.8931";"0.9286"
"south west";"MMR";2;2014;"0.0007";"0.0006";"0.44715";"0.8896";"0.9385"
"south west";"MMR";2;2015;"0.0007";"0.001";"0.43445";"0.8893";"0.939"
"south west";"MMR";2;2016;"0";"0.001";"0.4355";"0.8639";"0.9342"
"south west";"MMR";2;2017;"0";"0";"0.44585";"0.866";"0.925"
"south west";"MMR";2;2018;"0";"0";"0.4575333368255";"0.8867";"0.9265"
"south west";"MMR";2;2019;"0";"0";"0.45680701261325";"0.910066673651";"0.938"
"west midlands";"MMR";1;2010;"0.706275";"0.9319";"0.9512";"0.9594";"0.9677800297"
"west midlands";"MMR";1;2011;"0.71265";"0.9417";"0.9588";"0.966";"0.9704"
"west midlands";"MMR";1;2012;"0.7203";"0.9502";"0.964";"0.9728";"0.9707"
"west midlands";"MMR";1;2013;"0.7191";"0.9604";"0.966";"0.9762";"0.9781"
"west midlands";"MMR";1;2014;"0.71985";"0.9588";"0.9738";"0.9774";"0.9799"
"west midlands";"MMR";1;2015;"0.7179";"0.9598";"0.9701";"0.9817";"0.9812"
"west midlands";"MMR";1;2016;"0.724410843075";"0.9572";"0.9705";"0.9788";"0.984"
"west midlands";"MMR";1;2017;"0.7168707426";"0.9658811241";"0.9675";"0.9766";"0.9814"
"west midlands";"MMR";1;2018;"0.714889588575";"0.9558276568";"0.97067820080736";"0.9736";"0.9785"
"west midlands";"MMR";1;2019;"0.7134481554";"0.9531861181";"0.96410435531176";"0.97351956064476";"0.9773"
"west midlands";"MMR";2;2010;"0.0007";"0.0004";"0.4378";"0.8311";"0.93911582595"
"west midlands";"MMR";2;2011;"0.0006";"0.0009";"0.447";"0.8706";"0.9311"
"west midlands";"MMR";2;2012;"0.0007";"0.0008";"0.45285";"0.889";"0.9227"
"west midlands";"MMR";2;2013;"0.0005";"0.0009";"0.4519";"0.9007";"0.9368"
"west midlands";"MMR";2;2014;"0.0006";"0.0007";"0.4536";"0.8988";"0.9432"
"west midlands";"MMR";2;2015;"0.0003";"0.0008";"0.4557";"0.9022";"0.9409"
"west midlands";"MMR";2;2016;"0";"0.0004";"0.4509";"0.9064";"0.9493"
"west midlands";"MMR";2;2017;"0";"0";"0.44405";"0.8968";"0.9412"
"west midlands";"MMR";2;2018;"0";"0";"0.446555137121097";"0.8831";"0.936"
"west midlands";"MMR";2;2019;"0";"0";"0.445488924919707";"0.888110274242195";"0.9302"
"yorkshire and the humber";"MMR";1;2010;"0.705";"0.9313";"0.9487";"0.9474";"0.9655893692"
"yorkshire and the humber";"MMR";1;2011;"0.70005";"0.94";"0.9562";"0.962";"0.9559"
"yorkshire and the humber";"MMR";1;2012;"0.7092";"0.9334";"0.9601";"0.9622";"0.9695"
"yorkshire and the humber";"MMR";1;2013;"0.711675";"0.9456";"0.946";"0.9773";"0.9674"
"yorkshire and the humber";"MMR";1;2014;"0.7092";"0.9489";"0.9595";"0.9557";"0.9821"
"yorkshire and the humber";"MMR";1;2015;"0.70845";"0.9456";"0.9599";"0.9704";"0.9616"
"yorkshire and the humber";"MMR";1;2016;"0.7274724199875";"0.9446";"0.9578";"0.9666";"0.9731"
"yorkshire and the humber";"MMR";1;2017;"0.7248959578875";"0.96996322665";"0.9541";"0.9675";"0.9685"
"yorkshire and the humber";"MMR";1;2018;"0.723105682575";"0.96652794385";"0.9752269391064";"0.9595";"0.9714"
"yorkshire and the humber";"MMR";1;2019;"0.72234531165";"0.9641409101";"0.97363317377944";"0.9782197038891";"0.9613"
"yorkshire and the humber";"MMR";2;2010;"0.0003";"0.0003";"0.41485";"0.8254";"0.93069928635"
"yorkshire and the humber";"MMR";2;2011;"0.0003";"0.0003";"0.41285";"0.8247";"0.9152"
"yorkshire and the humber";"MMR";2;2012;"0.0005";"0.0003";"0.43555";"0.8207";"0.9371"
"yorkshire and the humber";"MMR";2;2013;"0.0005";"0.0007";"0.41665";"0.8661";"0.9266"
"yorkshire and the humber";"MMR";2;2014;"0.0002";"0.0006";"0.41705";"0.8283";"0.952"
"yorkshire and the humber";"MMR";2;2015;"0.0005";"0.0003";"0.4355";"0.8291";"0.9274"
"yorkshire and the humber";"MMR";2;2016;"0";"0.0006";"0.4329";"0.866";"0.9359"
"yorkshire and the humber";"MMR";2;2017;"0";"0";"0.42545";"0.8608";"0.9332"
"yorkshire and the humber";"MMR";2;2018;"0";"0";"0.43940046349553";"0.8459";"0.9341"
"yorkshire and the humber";"MMR";2;2019;"0";"0";"0.43998892034801";"0.87380092699106";"0.9234"
"east midlands";"MMR";1;2005;"0.7035";"0.9315";"0.940124004602077";"0.954177916967733";"0.965593868086568"
"east midlands";"MMR";1;2006;"0.704625";"0.938";"0.945368418786367";"0.949215346685782";"0.955738759930762"
"east midlands";"MMR";1;2007;"0.700275";"0.9395";"0.949042484739521";"0.955355942026513";"0.95089511601571"
"east midlands";"MMR";1;2008;"0.70185";"0.9337";"0.95143990071186";"0.956994874601971";"0.957201295008094"
"east midlands";"MMR";1;2009;"0.696375";"0.9358";"0.963";"0.96003857642837";"0.958464204483916"
"east midlands";"MMR";2;2005;"0";"0";"0.38215690432017";"0.771880979539301";"0.896094555135692"
"east midlands";"MMR";2;2006;"0";"0";"0.388661264601654";"0.764313808640339";"0.894001597798589"
