"region";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y";"vaccine"
"north east";1;2015;"0.731035064059339";"0.970946915351506";"0.976937618147448";"0.982983775227543";"0.986394557823129";"MMR"
"north east";1;2016;"0.730796567325";"0.974713418745786";"0.982115677321157";"0.985381272224417";"0.984767393989296";"MMR"
"north east";1;2017;"0.729522712425";"0.9743954231";"0.980322003577818";"0.986794717887155";"0.98772504091653";"MMR"
"north east";1;2018;"0.7295284392375";"0.9726969499";"0.979542390049985";"0.983895131086142";"0.989148580968281";"MMR"
"north east";1;2019;"0.73164625875";"0.97270458565";"0.97921881313585";"0.982850945749805";"0.98531211750306";"MMR"
"north east";2;2015;"0";"0.685216894977169";"0.911153119092628";"0.950534230312624";"0.95280612244898";"MMR"
"north east";2;2016;"0";"0.693649373881932";"0.913622526636225";"0.948636902410115";"0.952243721696171";"MMR"
"north east";2;2017;"0";"0.691972299359881";"0.924865831842576";"0.955182072829132";"0.950490998363339";"MMR"
"north east";2;2018;"0";"0.693772912407344";"0.922629732479841";"0.961423220973783";"0.959098497495826";"MMR"
"north east";2;2019;"0";"0.691088061631143";"0.925030549876458";"0.959098734785927";"0.962056303549572";"MMR"
"north west";1;2015;"0.714100739897553";"0.956606103369201";"0.962394233782513";"0.979355012818783";"0.980326190302055";"MMR"
"north west";1;2016;"0.7259750872125";"0.952134319863404";"0.969048361934477";"0.976339550517366";"0.982335623159961";"MMR"
"north west";1;2017;"0.7234596825";"0.96796678295";"0.967646347363328";"0.978164225941423";"0.980174247101598";"MMR"
"north west";1;2018;"0.7215618690375";"0.96461291";"0.97236365547984";"0.975352560030492";"0.980510661415184";"MMR"
"north west";1;2019;"0.719736384675";"0.96208249205";"0.97122625271101";"0.9745762603812";"0.979109839664693";"MMR"
"north west";2;2015;"0";"0.657004680187207";"0.864368536508931";"0.918499527729051";"0.928910992466906";"MMR"
"north west";2;2016;"0";"0.657429245283019";"0.87600624024961";"0.921109866209715";"0.921631851955699";"MMR"
"north west";2;2017;"0";"0.665288268475027";"0.876572327044025";"0.927955020920502";"0.924607258009193";"MMR"
"north west";2;2018;"0";"0.662723536680357";"0.88705102463337";"0.924914242154745";"0.929784055412196";"MMR"
"north west";2;2019;"0";"0.661572161654665";"0.883631382240476";"0.935970827379493";"0.929346018228993";"MMR"
"yorkshire and the humber";1;2015;"0.708485401459854";"0.94559748427673";"0.959871589085072";"0.970432145564822";"0.961633663366337";"MMR"
"yorkshire and the humber";1;2016;"0.7274724199875";"0.944647201946472";"0.957817207900904";"0.966610455311973";"0.973133148952983";"MMR"
"yorkshire and the humber";1;2017;"0.7248959578875";"0.96996322665";"0.95410783055199";"0.967491166077739";"0.968498424921246";"MMR"
"yorkshire and the humber";1;2018;"0.723105682575";"0.96652794385";"0.9752269391064";"0.95954530257439";"0.971417965850037";"MMR"
"yorkshire and the humber";1;2019;"0.72234531165";"0.9641409101";"0.97363317377944";"0.9782197038891";"0.961305007587253";"MMR"
"yorkshire and the humber";2;2015;"0";"0.654837629728825";"0.869020866773676";"0.926459438968916";"0.922442244224422";"MMR"
"yorkshire and the humber";2;2016;"0";"0.645298459563543";"0.873116839638433";"0.922765598650927";"0.931252469379692";"MMR"
"yorkshire and the humber";2;2017;"0";"0.666709358847317";"0.860397946084724";"0.925088339222615";"0.928246412320616";"MMR"
"yorkshire and the humber";2;2018;"0";"0.66761251094727";"0.888945811796423";"0.914075560013373";"0.929101707498144";"MMR"
"yorkshire and the humber";2;2019;"0";"0.662867843481193";"0.890150014596359";"0.944404440337128";"0.918437025796662";"MMR"
"east midlands";1;2015;"0.721227621483376";"0.960893854748603";"0.976851851851852";"0.985422740524781";"0.988461538461539";"MMR"
"east midlands";1;2016;"0.7259037804375";"0.961636828644501";"0.976854599406528";"0.980511571254568";"0.986738999397227";"MMR"
"east midlands";1;2017;"0.724103212725";"0.96787170725";"0.976910390324354";"0.983208955223881";"0.982932996207333";"MMR"
"east midlands";1;2018;"0.7199596699875";"0.9654709503";"0.97499087923916";"0.983749274521184";"0.985833869929169";"MMR"
"east midlands";1;2019;"0.721281704025";"0.95994622665";"0.97351467227244";"0.97815417403935";"0.986805555555556";"MMR"
"east midlands";2;2015;"0";"0.667655786350148";"0.875578703703704";"0.92536443148688";"0.931410256410256";"MMR"
"east midlands";2;2016;"0";"0.663826278174821";"0.890207715133531";"0.939098660170524";"0.927667269439421";"MMR"
"east midlands";2;2017;"0";"0.659310237080568";"0.885101704233095";"0.936567164179104";"0.946902654867257";"MMR"
"east midlands";2;2018;"0";"0.662574189436868";"0.879080316107424";"0.941961694718514";"0.942047649710238";"MMR"
"east midlands";2;2019;"0";"0.656781197120112";"0.88343225258249";"0.935553485428792";"0.946527777777778";"MMR"
"west midlands";1;2015;"0.717887872166075";"0.959830577947807";"0.970134324092598";"0.981657333008684";"0.981236104935527";"MMR"
"west midlands";1;2016;"0.724410843075";"0.957183829554766";"0.970528158739422";"0.978811956110481";"0.984043456119504";"MMR"
"west midlands";1;2017;"0.7168707426";"0.9658811241";"0.967545787545788";"0.976590961940935";"0.981449183446964";"MMR"
"west midlands";1;2018;"0.714889588575";"0.9558276568";"0.97067820080736";"0.973649333437281";"0.978486767332359";"MMR"
"west midlands";1;2019;"0.7134481554";"0.9531861181";"0.96410435531176";"0.97351956064476";"0.97725568607848";"MMR"
"west midlands";2;2015;"0";"0.662295739714036";"0.891468991140326";"0.940426913399886";"0.935882614495331";"MMR"
