"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"north east";"MMR";1;2010;"0.707151185386708";"0.948968512486428";"0.956913435174305";"0.949308755760369";"0.9705420267"
"north east";"MMR";1;2011;"0.72188864628821";"0.942868247182277";"0.968714231209462";"0.970769864141622";"0.953051643192488"
"north east";"MMR";1;2012;"0.726354941551541";"0.962518195050946";"0.963253509496284";"0.980776932318782";"0.974967630556754"
"north east";"MMR";1;2013;"0.725471027372911";"0.968473255402055";"0.972847168347556";"0.981214504150284";"0.98618668899121"
"north east";"MMR";1;2014;"0.72821018651363";"0.967294703163882";"0.97737556561086";"0.982340862422998";"0.983151183970856"
"north east";"MMR";1;2015;"0.731035064059339";"0.970946915351506";"0.976937618147448";"0.982983775227543";"0.986394557823129"
"north east";"MMR";1;2016;"0.730796567325";"0.974713418745786";"0.982115677321157";"0.985381272224417";"0.984767393989296"
"north east";"MMR";1;2017;"0.729522712425";"0.9743954231";"0.980322003577818";"0.986794717887155";"0.98772504091653"
"north east";"MMR";1;2018;"0.7295284392375";"0.9726969499";"0.979542390049985";"0.983895131086142";"0.989148580968281"
"north east";"MMR";1;2019;"0.73164625875";"0.97270458565";"0.97921881313585";"0.982850945749805";"0.98531211750306"
"north east";"MMR";2;2010;"0";"0.675600915681038";"0.880532706619663";"0.875576036866359";"0.945072317185292"
"north east";"MMR";2;2011;"0";"0.677848885218827";"0.90080122090805";"0.925483738163853";"0.873239436619718"
"north east";"MMR";2;2012;"0";"0.676978277734678";"0.903798513625103";"0.945534641569884";"0.930513595166163"
"north east";"MMR";2;2013;"0";"0.679581447963801";"0.902637703646237";"0.949759720401922";"0.948932607785684"
"north east";"MMR";2;2014;"0";"0.683364839319471";"0.906108597285068";"0.951129363449692";"0.951275045537341"
"north east";"MMR";2;2015;"0";"0.685216894977169";"0.911153119092628";"0.950534230312624";"0.95280612244898"
"north east";"MMR";2;2016;"0";"0.693649373881932";"0.913622526636225";"0.948636902410115";"0.952243721696171"
"north east";"MMR";2;2017;"0";"0.691972299359881";"0.924865831842576";"0.955182072829132";"0.950490998363339"
"north east";"MMR";2;2018;"0";"0.693772912407344";"0.922629732479841";"0.961423220973783";"0.959098497495826"
"north east";"MMR";2;2019;"0";"0.691088061631143";"0.925030549876458";"0.959098734785927";"0.962056303549572"
"north west";"MMR";1;2010;"0.697564207093355";"0.913736023486789";"0.9405334799945";"0.944983818770227";"0.9683839298"
"north west";"MMR";1;2011;"0.710157999502364";"0.930085609457807";"0.945017182130584";"0.957823916660638";"0.96"
"north west";"MMR";1;2012;"0.714515160612429";"0.946877332669818";"0.955644283121597";"0.963491952901832";"0.966508617445624"
"north west";"MMR";1;2013;"0.71195396899953";"0.952686880816572";"0.966580465486374";"0.970606246172688";"0.971476387979335"
"north west";"MMR";1;2014;"0.717454577526901";"0.94927195866604";"0.965838309895332";"0.977810547012148";"0.976416979774562"
"north west";"MMR";1;2015;"0.714100739897553";"0.956606103369201";"0.962394233782513";"0.979355012818783";"0.980326190302055"
"north west";"MMR";1;2016;"0.7259750872125";"0.952134319863404";"0.969048361934477";"0.976339550517366";"0.982335623159961"
"north west";"MMR";1;2017;"0.7234596825";"0.96796678295";"0.967646347363328";"0.978164225941423";"0.980174247101598"
"north west";"MMR";1;2018;"0.7215618690375";"0.96461291";"0.97236365547984";"0.975352560030492";"0.980510661415184"
"north west";"MMR";1;2019;"0.719736384675";"0.96208249205";"0.97122625271101";"0.9745762603812";"0.979109839664693"
"north west";"MMR";2;2010;"0";"0.648542823156225";"0.844424584078097";"0.865695792880259";"0.929043609712177"
"north west";"MMR";2;2011;"0";"0.658257713248639";"0.8647237642083";"0.905375099471895";"0.868333333333333"
"north west";"MMR";2;2012;"0";"0.654714541476029";"0.877676950998185";"0.921131470772661";"0.91119139008053"
"north west";"MMR";2;2013;"0";"0.646937006357157";"0.872952721968039";"0.92620943049602";"0.926144218875064"
"north west";"MMR";2;2014;"0";"0.648276402381699";"0.862582675142875";"0.925707464363458";"0.931409385242625"
"north west";"MMR";2;2015;"0";"0.657004680187207";"0.864368536508931";"0.918499527729051";"0.928910992466906"
"north west";"MMR";2;2016;"0";"0.657429245283019";"0.87600624024961";"0.921109866209715";"0.921631851955699"
"north west";"MMR";2;2017;"0";"0.665288268475027";"0.876572327044025";"0.927955020920502";"0.924607258009193"
"north west";"MMR";2;2018;"0";"0.662723536680357";"0.88705102463337";"0.924914242154745";"0.929784055412196"
"north west";"MMR";2;2019;"0";"0.661572161654665";"0.883631382240476";"0.935970827379493";"0.929346018228993"
"yorkshire and the humber";"MMR";1;2010;"0.704968944099379";"0.931262392597488";"0.948667711598746";"0.947445255474453";"0.9655893692"
"yorkshire and the humber";"MMR";1;2011;"0.70008576329331";"0.939958592132505";"0.95617110799439";"0.961952026468155";"0.9558599695586"
"yorkshire and the humber";"MMR";1;2012;"0.709203980099502";"0.933447684391081";"0.960147601476015";"0.962166172106825";"0.969488611946713"
"yorkshire and the humber";"MMR";1;2013;"0.711688701923077";"0.945605306799337";"0.946015424164524";"0.977299412915851";"0.967416602017067"
"yorkshire and the humber";"MMR";1;2014;"0.709198113207547";"0.948918269230769";"0.959527220630373";"0.955721003134796";"0.982062780269058"
"yorkshire and the humber";"MMR";1;2015;"0.708485401459854";"0.94559748427673";"0.959871589085072";"0.970432145564822";"0.961633663366337"
"yorkshire and the humber";"MMR";1;2016;"0.7274724199875";"0.944647201946472";"0.957817207900904";"0.966610455311973";"0.973133148952983"
"yorkshire and the humber";"MMR";1;2017;"0.7248959578875";"0.96996322665";"0.95410783055199";"0.967491166077739";"0.968498424921246"
"yorkshire and the humber";"MMR";1;2018;"0.723105682575";"0.96652794385";"0.9752269391064";"0.95954530257439";"0.971417965850037"
"yorkshire and the humber";"MMR";1;2019;"0.72234531165";"0.9641409101";"0.97363317377944";"0.9782197038891";"0.961305007587253"
"yorkshire and the humber";"MMR";2;2010;"0";"0.64007713884993";"0.850313479623824";"0.896350364963504";"0.925697119166109"
