"";"region";"IQR_ref";"IQR_early";"IQR_MMR1";"diff_MMR2";"diff_MMR1"
"1";"North East";"161 (134; 195)";"150 (125; 182)";"142 (119; 170)";"6.83 (-13.04; 22.36)";"11.8 (-5.59; 26.09)"
"2";"North West";"702 (585; 843)";"653 (548; 786)";"625 (523.75; 738)";"6.98 (-11.97; 21.94)";"10.97 (-5.13; 25.39)"
"3";"Yorkshire and The Humber";"461 (383; 552)";"429 (357; 512.25)";"406.5 (339; 484)";"6.94 (-11.12; 22.56)";"11.82 (-4.99; 26.46)"
"4";"East Midlands";"533.5 (447; 649)";"495.5 (414; 597)";"473 (392.75; 565)";"7.12 (-11.9; 22.4)";"11.34 (-5.9; 26.38)"
"5";"West Midlands";"664 (553.75; 797)";"616 (516; 741)";"587 (491; 694)";"7.23 (-11.6; 22.29)";"11.6 (-4.52; 26.05)"
"6";"East";"789 (663.75; 945)";"733 (613; 872)";"695 (581; 822)";"7.1 (-10.52; 22.31)";"11.91 (-4.18; 26.36)"
"7";"London";"1991 (1682; 2371.25)";"1852 (1568; 2221.25)";"1772 (1492; 2082.25)";"6.98 (-11.56; 21.25)";"11 (-4.58; 25.06)"
"8";"South East";"1366 (1146; 1636)";"1271.5 (1061.75; 1527)";"1202 (1011; 1429)";"6.92 (-11.79; 22.27)";"12.01 (-4.61; 25.99)"
"9";"South West";"500.5 (420; 602)";"465 (390; 559.25)";"443 (370; 528)";"7.09 (-11.74; 22.08)";"11.49 (-5.49; 26.07)"
